-30	2879.936493
-29	2696.403266
-28	2497.097949
-27	2369.455162
-26	2179.932915
-25	2031.931402
-24	1868.615326
-23	1745.950562
-22	1595.415915
-21	1432.11773
-20	1342.781571
-19	1186.425867
-18	1106.107391
-17	964.8429508
-16	873.3685072
-15	755.1021306
-14	691.8077483
-13	589.5929197
-12	537.5649691
-11	423.8863354
-10	370.8558774
-9	325.6749336
-8	249.9247766
-7	193.9252838
-6	160.6623908
-5	118.9447696
-4	119.9917671
-3	76.42711768
-2	35.44415184
-1	23.15939244
0	54.3719272
1	12.0790648
2	46.20086581
3	39.73862185
4	49.22255824
5	60.2202966
6	115.6956611
7	145.9869142
8	160.3332843
9	244.0886133
10	271.4053358
11	317.1580699
12	396.7797965
13	473.3898166
14	542.0917751
15	651.5529226
16	719.1609702
17	819.3282367
18	893.3084387
19	1006.937332
20	1113.725005
21	1242.186923
22	1394.16973
23	1511.491138
24	1611.549787
25	1759.480841
26	1921.552835
27	2074.730603
28	2243.732438
29	2421.187143
30	2564.794267
